original_address,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,state,state_code,country,country_code,confidence_building_level,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
"Đường Lê Văn Việt,Phường Tăng Nhơn Phú B,Quận 9,TP. Hồ Chí Minh",10.848809,106.774252,"Đường Lê Văn Việt, Ho Chi Minh City, HC, Vietnam",,,Đường Lê Văn Việt,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,Vietnam,vn,,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Dĩ An,TP. Hồ Chí Minh",10.8011432,106.73512515600824,"Hiếu Phương 3 Petro Station, 53, Song Hành Võ Nguyên Giáp, Khu phố 7, Ho Chi Minh City, 71108, Vietnam",Hiếu Phương 3 Petro Station,53,Song Hành Võ Nguyên Giáp,71108,,Khu phố 7,Ho Chi Minh City,Phường An Khánh,,,Vietnam,vn,,0.3333333333333333,0.3333333333333333,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Xuân Thới Thượng 31,Xã Bà Điểm,TP. Hồ Chí Minh(Mới)",10.858997,106.590638,"31, Đường Xuân Thới Thượng 31-1, HC, Vietnam",,31,Đường Xuân Thới Thượng 31-1,,,,,Hoc Mon,Ho Chi Minh,HC,Vietnam,vn,0,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường số 55,Phường Tam Long,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,Ho Chi Minh,HC,Vietnam,vn,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nhị Bình 16,Xã Đông Thạnh,TP. Hồ Chí Minh(Mới)",10.902585,106.684714,"16, Đường Nhị Bình 19, HC, Vietnam",,16,Đường Nhị Bình 19,,,,,Hoc Mon,Ho Chi Minh,HC,Vietnam,vn,0,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Xuân Thới 6,Xã Xuân Thới Sơn,TP. Hồ Chí Minh(Mới)",10.871414,106.586098,"6, Đường Xuân Thới 2, HC, Vietnam",,6,Đường Xuân Thới 2,,,,,Hoc Mon,Ho Chi Minh,HC,Vietnam,vn,0,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Tân Hiệp 19,Xã Hóc Môn,TP. Hồ Chí Minh(Mới)",10.867352050000001,106.62595405,"Tan Chanh Hiep Ward People's Committee, 19/5, Đường Huỳnh Thị Hai, Ho Chi Minh City, 71716, Vietnam",Tan Chanh Hiep Ward People's Committee,19/5,Đường Huỳnh Thị Hai,71716,,,Ho Chi Minh City,Phường Trung Mỹ Tây,,,Vietnam,vn,0,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Bùi Văn Thủ,Xã Bà Điểm,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,Ho Chi Minh,HC,Vietnam,vn,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Cây Trôm,Xã Thái Mỹ,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,Cu Chi,Ho Chi Minh,HC,Vietnam,vn,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Xã Minh Thạnh,TP. Hồ Chí Minh",20.22663,105.64695,"Xã Thành Minh, TH, Vietnam",,,,,,,Xã Thành Minh,Thach Thanh,Thanh Hoa,TH,Vietnam,vn,,0.125,0.5,,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
