original_address,lat,lon,formatted,name,housenumber,street,district,postcode,suburb,city,county_code,county,state,confidence_building_level,state_code,country,country_code,confidence,confidence_street_level,confidence_city_level,attribution,attribution_license,attribution_url
"Phường Chánh Phú Hòa,TP. Hồ Chí Minh(Mới)",11.16116,106.65252,"Phường Chánh Phú Hòa, BI, Vietnam",,,,,,,Phường Chánh Phú Hòa,,Ben Cat,Bin Duong,,BI,Vietnam,vn,0,,,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"Phường Phú Thọ Hòa,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường Tân Định,Quận 1,TP. Hồ Chí Minh",10.777353,106.698089,"Quan 1, Vietnam",Quan 1,,,,,,,,Quan 1,Ho Chi Minh,,HC,Vietnam,vn,0.45,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường Tam Bình,TP. Hồ Chí Minh(Mới)",10.7608529,106.7012374,"Phụ kiện trang trí sinh nhật Ellie Party, Ke Q34 Hoàng Diệu, Phường 6, Quận 4, Hồ Chí Minh, Việt Nam, Nguyen Huu Hao Street, Ho Chi Minh City, 72806, Vietnam",Phụ kiện trang trí sinh nhật Ellie Party,"Ke Q34 Hoàng Diệu, Phường 6, Quận 4, Hồ Chí Minh, Việt Nam",Nguyen Huu Hao Street,,72806,,Ho Chi Minh City,,Phường Khánh Hội,,,,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Thới An,TP. Hồ Chí Minh(Mới)",10.87279,106.65443,"Phường Thới An, HC, Vietnam",,,,,,,Phường Thới An,,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"đường Linh Đông,Phường Thủ Đức,TP. Hồ Chí Minh(Mới)",10.8354963,106.7456145,"Bến Linh Đông, Đường số 36, Khu phố 17, Ho Chi Minh City, 71221, Vietnam",Bến Linh Đông,,Đường số 36,,71221,Khu phố 17,Ho Chi Minh City,,Phường Thủ Đức,,,,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"đường Khổng Tử,Phường Thủ Đức,TP. Hồ Chí Minh(Mới)",10.7842941,106.6996471,"Hãng Hàng Không China Southern Airlines, Nguyen Thi Minh Khai, Saigon, Ho Chi Minh City, 71006, Vietnam",Hãng Hàng Không China Southern Airlines,,Nguyen Thi Minh Khai,Khu phố 2,71006,Saigon,Ho Chi Minh City,,,,,,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Tân Hưng,TP. Hồ Chí Minh",20.91085355,106.3330180417995,"Phường Tân Hưng, Hải Phòng, Vietnam",,,,Phường Tân Hưng,,,Hải Phòng,,,Phường Tân Hưng,,,Vietnam,vn,0.2222222222222222,,0.2222222222222222,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Bình 3,Phường Tam Bình,TP. Hồ Chí Minh(Mới)",10.7614701,106.65031758889629,"Trường THPT Nguyễn Hiền, 3, Dương Đình Nghệ, Ho Chi Minh City, 72415, Vietnam",Trường THPT Nguyễn Hiền,3,Dương Đình Nghệ,,72415,,Ho Chi Minh City,,Phường Bình Thới,,0,,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường số 14,Phường Thông Tây Hội,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Bình,Phường Phú Lợi,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường số 36,Phường Thủ Đức,TP. Hồ Chí Minh(Mới)",10.7763897,106.7011391,"Ho Chi Minh City, Vietnam",,,,,71006,,Ho Chi Minh City,,,,,,Vietnam,vn,0.45,,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Tân Bình,TP. Hồ Chí Minh(Mới)",10.7608529,106.7012374,"Phụ kiện trang trí sinh nhật Ellie Party, Ke Q34 Hoàng Diệu, Phường 6, Quận 4, Hồ Chí Minh, Việt Nam, Nguyen Huu Hao Street, Ho Chi Minh City, 72806, Vietnam",Phụ kiện trang trí sinh nhật Ellie Party,"Ke Q34 Hoàng Diệu, Phường 6, Quận 4, Hồ Chí Minh, Việt Nam",Nguyen Huu Hao Street,,72806,,Ho Chi Minh City,,Phường Khánh Hội,,,,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Số 49,Phường Tân Tạo,TP. Hồ Chí Minh(Mới)",10.70600565,106.6455712729717,"49, Đường số 4, Ho Chi Minh City, 71812, Vietnam",,49,Đường số 4,,71812,,Ho Chi Minh City,,Xã Bình Hưng,,,,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"đường Bàu Cát,Phường Bảy Hiền,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Mai Xuân Thưởng,Phường Bình Tây,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Vạn Tượng,Phường Chợ Lớn,TP. Hồ Chí Minh(Mới)",10.75,106.65,"Chợ Lớn, Ho Chi Minh City, HC, Vietnam",Chợ Lớn,,,,,,Ho Chi Minh City,,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"Đường Lê Sát,Phường Tân Quý,Quận Tân Phú,TP. Hồ Chí Minh",,,,,,,,,,,,,,,,,,,,,,,
"Đường Lê Thúc Hoạch,Phường Phú Thọ Hòa,Quận Tân Phú,TP. Hồ Chí Minh",10.781358,106.622158,"Tan Phu, Vietnam",Tan Phu,,,,,,,,Tan Phu,Ho Chi Minh,,HC,Vietnam,vn,0.225,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường Bình Trị Đông,TP. Hồ Chí Minh(Mới)",10.76617,106.61514,"Phường Bình Trị Đông, HC, Vietnam",,,,,,,Phường Bình Trị Đông,,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"Đường số 2A,Phường An Lạc,TP. Hồ Chí Minh(Mới)",10.7763897,106.7011391,"Ho Chi Minh City, Vietnam",,,,,71006,,Ho Chi Minh City,,,,,,Vietnam,vn,0.45,,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Lê Đình Cẩn,Phường Tân Tạo,TP. Hồ Chí Minh(Mới)",10.759798,106.595911,"Đường Lê Đình Cẩn, HC, Vietnam",,,Đường Lê Đình Cẩn,,,,,,Binh Tan,Ho Chi Minh,,HC,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Điện Biên Phủ,Phường Vườn Lài,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường 3/2,Phường Vườn Lài,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Cao Thắng,Phường Vườn Lài,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Ngô Quyền,Phường Diên Hồng,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Lê Hồng Phong,Phường Vườn Lài,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Đồng Nai,Phường Hòa Hưng,TP. Hồ Chí Minh(Mới)",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nhật Tảo,Phường Diên Hồng,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Triệu Lực,Phường Tân Tạo,TP. Hồ Chí Minh(Mới)",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Hương lộ 2,Phường Bình Trị Đông,TP. Hồ Chí Minh(Mới)",10.7664071,106.6000565,"Sân Cầu Lông The B Hương Lộ 2, 859, Hương Lộ 2, Ho Chi Minh City, 73118, Vietnam",Sân Cầu Lông The B Hương Lộ 2,859,Hương Lộ 2,,73118,,Ho Chi Minh City,,Phường Bình Trị Đông,,,,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Diên Hồng,TP. Hồ Chí Minh(Mới)",10.80675,106.7312,"Phường Thảo Điền, HC, Vietnam",,,,,,,Phường Thảo Điền,,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"Đường Phan Anh,Phường Bình Trị Đông,TP. Hồ Chí Minh(Mới)",10.7633619,106.62495153123675,"Công Viên 158 Phan Anh, 158, Ho Chi Minh City, Phường Phú Thạnh, Vietnam",Công Viên 158 Phan Anh,158,,,,,Ho Chi Minh City,,Phường Phú Thạnh,,,,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Hồ Bá Kiện,Phường Hòa Hưng,TP. Hồ Chí Minh(Mới)",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Lý Thái Tổ,Phường Hòa Hưng,TP. Hồ Chí Minh(Mới)",10.7667526,106.6748694,"Ngã bảy Lý Thái Tổ, 520, Le Hong Phong Street, Ho Chi Minh City, 72712, Vietnam",Ngã bảy Lý Thái Tổ,520,Le Hong Phong Street,,72712,,Ho Chi Minh City,,Phường Vườn Lài,,,,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Hồ Thị Kỷ,Phường Vườn Lài,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Hồ Văn Long,Phường Tân Tạo,TP. Hồ Chí Minh(Mới)",10.762488,106.58175,"Đường Hồ Văn Long, HC, Vietnam",,,Đường Hồ Văn Long,,,,,,Binh Tan,Ho Chi Minh,,HC,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Phú Lâm,TP. Hồ Chí Minh(Mới)",10.7608529,106.7012374,"Phụ kiện trang trí sinh nhật Ellie Party, Ke Q34 Hoàng Diệu, Phường 6, Quận 4, Hồ Chí Minh, Việt Nam, Nguyen Huu Hao Street, Ho Chi Minh City, 72806, Vietnam",Phụ kiện trang trí sinh nhật Ellie Party,"Ke Q34 Hoàng Diệu, Phường 6, Quận 4, Hồ Chí Minh, Việt Nam",Nguyen Huu Hao Street,,72806,,Ho Chi Minh City,,Phường Khánh Hội,,,,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Số 2,Phường Bình Tân,TP. Hồ Chí Minh(Mới)",10.7763897,106.7011391,"Ho Chi Minh City, Vietnam",,,,,71006,,Ho Chi Minh City,,,,,,Vietnam,vn,0.45,,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Tam Đảo,Phường Hòa Hưng,TP. Hồ Chí Minh(Mới)",10.777963,106.702802489238,"Trung Tâm đào tạo SEAMEO, Le Thanh Ton Street, Saigon, Ho Chi Minh City, 71006, Vietnam",Trung Tâm đào tạo SEAMEO,,Le Thanh Ton Street,Khu phố 5,71006,Saigon,Ho Chi Minh City,,,,,,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Vườn Lài,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Gia Phú,Phường Bình Tiên,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Âu Cơ,Phường Hòa Bình,TP. Hồ Chí Minh(Mới)",10.801827,106.636742,"Đường Âu Cơ, Ho Chi Minh City, HC, Vietnam",,,Đường Âu Cơ,,,,Ho Chi Minh City,,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường 3/2,Phường Hòa Hưng,TP. Hồ Chí Minh(Mới)",10.7763897,106.7011391,"Ho Chi Minh City, Vietnam",,,,,71006,,Ho Chi Minh City,,,,,,Vietnam,vn,0.45,,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường 3/2,Phường Minh Phụng,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường 3/2,Phường Phú Thọ,TP. Hồ Chí Minh(Mới)",10.7763897,106.7011391,"Ho Chi Minh City, Vietnam",,,,,71006,,Ho Chi Minh City,,,,,,Vietnam,vn,0.45,,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Bình Thới,TP. Hồ Chí Minh(Mới)",10.0441769,105.7782139,"UBND phường Thới Bình, Hùng Vương, Ninh Kiều, Cần Thơ, CN 94111, Vietnam",UBND phường Thới Bình,,Hùng Vương,Phường Ninh Kiều,94111,Ninh Kiều,Cần Thơ,NK,Ninh Kieu,Can Tho,,CN,Vietnam,vn,0.19999999999999998,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Nhật Tảo,Phường Minh Phụng,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Cư Xá Phú Lâm A,Phường Bình Tây,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Lạc Long Quân,Phường Bình Thới,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Hồng Bàng,Phường Minh Phụng,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Tân Hoà Đông,Phường Phú Lâm,TP. Hồ Chí Minh(Mới)",10.8797358,106.8061911,"Ho Chi Minh city University of Technology, Tạ Quang Bửu, Tân Lập, 00084, Vietnam",Ho Chi Minh city University of Technology,,Tạ Quang Bửu,,00084,Tân Lập,,,Phường Đông Hòa,,,,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Bà Hom,Phường Phú Lâm,TP. Hồ Chí Minh(Mới)",10.756569,106.629819,"Hẻm 76 Đường Bà Hom, Ho Chi Minh City, HC, Vietnam",,,Hẻm 76 Đường Bà Hom,,,,Ho Chi Minh City,,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Bình Tây,Phường Bình Tiên,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường An Dương Vương,Phường An Lạc,TP. Hồ Chí Minh(Mới)",10.7614399,106.68215374038462,"Ho Chi Minh City University of Pedagogy, 280, An Duong Vuong Street, Ho Chi Minh City, 72712, Vietnam",Ho Chi Minh City University of Pedagogy,280,An Duong Vuong Street,,72712,,Ho Chi Minh City,,Phường An Đông,,,,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Trương Quốc Phan,Phường Bình Trị Đông,TP. Hồ Chí Minh(Mới)",10.7608529,106.7012374,"Phụ kiện trang trí sinh nhật Ellie Party, Ke Q34 Hoàng Diệu, Phường 6, Quận 4, Hồ Chí Minh, Việt Nam, Nguyen Huu Hao Street, Ho Chi Minh City, 72806, Vietnam",Phụ kiện trang trí sinh nhật Ellie Party,"Ke Q34 Hoàng Diệu, Phường 6, Quận 4, Hồ Chí Minh, Việt Nam",Nguyen Huu Hao Street,,72806,,Ho Chi Minh City,,Phường Khánh Hội,,,,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Lê Trực,Phường Bình Tiên,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Số 26,Phường Bình Phú,TP. Hồ Chí Minh(Mới)",10.7763897,106.7011391,"Ho Chi Minh City, Vietnam",,,,,71006,,Ho Chi Minh City,,,,,,Vietnam,vn,0.45,,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Tỉnh Lộ 10,Phường Tân Tạo,TP. Hồ Chí Minh(Mới)",10.668427722067014,106.52708554647411,"Đường cao tốc TP Hồ Chí Minh – Trung Lương, Tây Ninh Province 85000, Vietnam",Đường cao tốc TP Hồ Chí Minh – Trung Lương,,Đường cao tốc TP Hồ Chí Minh – Trung Lương,,85000,,,,Xã Lương Hòa,Tây Ninh Province,,,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Số 1,Phường Bình Tân,TP. Hồ Chí Minh(Mới)",10.7763897,106.7011391,"Ho Chi Minh City, Vietnam",,,,,71006,,Ho Chi Minh City,,,,,,Vietnam,vn,0.45,,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Đất Mới,Phường Bình Trị Đông,TP. Hồ Chí Minh(Mới)",8.751070265532938,104.96447244184114,"Ho Chi Minh Highway, Cà Mau Province, Vietnam",Ho Chi Minh Highway,,Ho Chi Minh Highway,,,,,,Xã Đất Mới,Cà Mau Province,,,Vietnam,vn,0,,0.09,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Tân Hoà Đông,Phường Tân Phú,TP. Hồ Chí Minh(Mới)",10.8797358,106.8061911,"Ho Chi Minh city University of Technology, Tạ Quang Bửu, Tân Lập, 00084, Vietnam",Ho Chi Minh city University of Technology,,Tạ Quang Bửu,,00084,Tân Lập,,,Phường Đông Hòa,,,,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Gò Xoài,Phường Bình Trị Đông,TP. Hồ Chí Minh(Mới)",10.779648,106.608224,"Đường Miếu Gò Xoài, HC, Vietnam",,,Đường Miếu Gò Xoài,,,,,,Binh Tan,Ho Chi Minh,,HC,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Lê Văn Quế,Phường Bình Trị Đông,TP. Hồ Chí Minh(Mới)",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Số 14,Phường Bình Trị Đông,TP. Hồ Chí Minh(Mới)",10.796542840987254,106.6930604426347,"Đường Số 14, Gia Dinh, Ho Chi Minh City, 72200, Vietnam",Đường Số 14,,Đường Số 14,,72200,Gia Dinh,Ho Chi Minh City,,,,,,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Chiến Lược,Phường Bình Trị Đông,TP. Hồ Chí Minh(Mới)",10.761966,106.614566,"Đường Chiến Lược, Ho Chi Minh City, HC, Vietnam",,,Đường Chiến Lược,,,,Ho Chi Minh City,,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Tây Lân,Phường Bình Hưng Hòa,TP. Hồ Chí Minh(Mới)",10.845271,106.595757,"Đường Tây Lân 3, HC, Vietnam",,,Đường Tây Lân 3,,,,,,Hoc Mon,Ho Chi Minh,,HC,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Phú Thọ,TP. Hồ Chí Minh(Mới)",10.7608529,106.7012374,"Phụ kiện trang trí sinh nhật Ellie Party, Ke Q34 Hoàng Diệu, Phường 6, Quận 4, Hồ Chí Minh, Việt Nam, Nguyen Huu Hao Street, Ho Chi Minh City, 72806, Vietnam",Phụ kiện trang trí sinh nhật Ellie Party,"Ke Q34 Hoàng Diệu, Phường 6, Quận 4, Hồ Chí Minh, Việt Nam",Nguyen Huu Hao Street,,72806,,Ho Chi Minh City,,Phường Khánh Hội,,,,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Số 5D,Phường Bình Trị Đông,TP. Hồ Chí Minh(Mới)",10.784457,106.61401,"Đường số 5D, Ho Chi Minh City, HC, Vietnam",,,Đường số 5D,,,,Ho Chi Minh City,,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Minh Phụng,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Gia Phú,Phường Hai Bà Trưng,Hà Nội(Mới)",,,,,,,,,,,,,,,,,,,,,,,
"Phường Tân Khánh,TP. Hồ Chí Minh(Mới)",10.75488175,106.68943610437688,"People's Committee of Ward 1, Ben Van Don Street, Ho Chi Minh City, HC 72760, Vietnam",People's Committee of Ward 1,,Ben Van Don Street,,72760,,Ho Chi Minh City,,Phường Vĩnh Hội,Ho Chi Minh,,HC,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Xã Xuân Thới Sơn,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Bình Tiên,Phường Bình Tiên,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Xóm Đất,Phường Bình Thới,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Hòa Bình,Phường Hòa Bình,TP. Hồ Chí Minh(Mới)",10.7794437,106.6993713562529,"Paris Commune Square, Saigon, Ho Chi Minh City, 71006, Vietnam",Paris Commune Square,,,Khu phố 3,71006,Saigon,Ho Chi Minh City,,,,,,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Hòa Lợi,TP. Hồ Chí Minh(Mới)",11.09364,106.66144,"Phường Hòa Lợi, BI, Vietnam",,,,,,,Phường Hòa Lợi,,Ben Cat,Bin Duong,,BI,Vietnam,vn,0,,,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"Đường Thạnh Lộc 47,Phường An Phú Đông,TP. Hồ Chí Minh(Mới)",10.884364,106.684199,"47, Đường Thạnh Lộc 40, Ho Chi Minh City, HC, Vietnam",,47,Đường Thạnh Lộc 40,,,,Ho Chi Minh City,,Quan 8,Ho Chi Minh,0,HC,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Kênh A,Xã Bình Lợi,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
