original_address,lat,lon,formatted,name,postcode,county_code,housenumber,suburb,district,street,confidence_city_level,city,county,state,confidence_street_level,state_code,country,country_code,confidence,confidence_building_level,attribution,attribution_license,attribution_url
"đường 25,Phường Hiệp Bình,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,,,Xa Moi,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường số 1,Phường Tam Bình,TP. Hồ Chí Minh(Mới)",10.7763897,106.7011391,"Ho Chi Minh City, Vietnam",,71006,,,,,,0.9,Ho Chi Minh City,,,,,Vietnam,vn,0.45,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Thạnh Lộc 19,Phường An Phú Đông,TP. Hồ Chí Minh(Mới)",10.86965,106.683734,"19, Đường Thanh Lộc 19, Ho Chi Minh City, HC, Vietnam",,,,19,,,Đường Thanh Lộc 19,,Ho Chi Minh City,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Thống Nhất,Phường Gò Vấp,TP. Hồ Chí Minh(Mới)",10.7770348,106.69548803180103,"Independence Palace, 135, Nam Kỳ Khởi Nghĩa, Ho Chi Minh City, 71006, Vietnam",Independence Palace,71006,,135,,Khu phố 7,Nam Kỳ Khởi Nghĩa,,Ho Chi Minh City,Phường Bến Thành,,,,Vietnam,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Cách Mạng Tháng Tám,Phường Tân Sơn Nhất,TP. Hồ Chí Minh(Mới)",22.30395,103.61826,"Ban Tan Binh, LI, Vietnam",,,,,,,,,Ban Tan Binh,Tam Duong,Lai Chau,,LI,Vietnam,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Đại Lộ 13,Phường Phú An,TP. Hồ Chí Minh(Mới)",10.771025834269421,106.70342928375334,"Ham Nghi Boulevard, Saigon, Ho Chi Minh City, 71010, Vietnam",Ham Nghi Boulevard,71010,,,Saigon,Khu phố 1,Ham Nghi Boulevard,,Ho Chi Minh City,,,,,Vietnam,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"đường Thăng Long,Phường Tân Sơn Nhất,TP. Hồ Chí Minh(Mới)",21.7171,105.48074,"Đồng Tận, TQ, Vietnam",,,,,,,,,Đồng Tận,Son Duong,Tuyen Quang,,TQ,Vietnam,vn,0,,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"đường Sơn Hưng,Phường Bảy Hiền,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,,,Xa Moi,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Tp. Thủ Đức,Phường Thủ Đức,TP. Hồ Chí Minh(Mới)",10.777990990252277,106.70476088930867,"HCMC Metro Line 1 (Ben Thanh - Suoi Tien Section), Pasteur Street, Saigon, Ho Chi Minh City, 71006, Vietnam",HCMC Metro Line 1 (Ben Thanh - Suoi Tien Section),71006,,,Saigon,Khu phố 3,Pasteur Street,,Ho Chi Minh City,,,,,Vietnam,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Bình Thuận,Phường Thuận Giao,TP. Hồ Chí Minh(Mới)",16.43804672822486,107.55386209000679,"Vietnam North–South Express Railway, Đường Phan Kế Bính, Thuận Hóa District, Huế 54000, Vietnam",Vietnam North–South Express Railway,54000,,,Thuận Hóa District,,Đường Phan Kế Bính,,,Phường Thủy Xuân,Huế,,,Vietnam,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Quốc Lộ 13,Phường Thới Hòa,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,,,Xa Moi,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Thành Mỹ,Phường Tân Hòa,TP. Hồ Chí Minh(Mới)",10.7757494,106.76612562753542,"Trường tiểu học Thạnh Mỹ Lợi, 668, Nguyễn Thị Định, Ho Chi Minh City, 08408, Vietnam",Trường tiểu học Thạnh Mỹ Lợi,08408,,668,,,Nguyễn Thị Định,,Ho Chi Minh City,Phường Cát Lái,,,,Vietnam,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"đường Bình Giã,Phường Tân Bình,TP. Hồ Chí Minh(Mới)",10.79258145,106.6636638,"Trường tiểu học Bình Giả, 31/17, Pham Van Hai, Ho Chi Minh City, 72215, Vietnam",Trường tiểu học Bình Giả,72215,,31/17,,,Pham Van Hai,,Ho Chi Minh City,Phường Tân Sơn Hòa,,,,Vietnam,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Công Nghệ Mới,Xã Tân Vĩnh Lộc,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,,,Xa Moi,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường An Phú Đông 25,Phường An Phú Đông,TP. Hồ Chí Minh(Mới)",10.752702398468472,106.66259183697898,"25, Hẻm 23 Phù Đổng Thiên Vương, Cholon, Ho Chi Minh City, 73000, Vietnam",Hẻm 23 Phù Đổng Thiên Vương,73000,,25,Cholon,,Hẻm 23 Phù Đổng Thiên Vương,0.3333333333333333,Ho Chi Minh City,,,0.02222222222222222,,Vietnam,vn,0.01111111111111111,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Nguyễn Thị Tú,Xã Tân Vĩnh Lộc,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,,,Xa Moi,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Hiệp Nhất,Phường Tân Sơn Nhất,TP. Hồ Chí Minh(Mới)",10.793029,106.656228,"Hẻm 94 Đường Hiệp Nhất, Ho Chi Minh City, HC, Vietnam",,,,,,,Hẻm 94 Đường Hiệp Nhất,,Ho Chi Minh City,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Dương Công Khi,Xã Xuân Thới Sơn,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,,,Xa Moi,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Liên ấp 1 - 2 - 3,Xã Tân Vĩnh Lộc,TP. Hồ Chí Minh(Mới)",10.790931,106.580354,"B12A/23F3 LIÊN ÂP 1-2, 3 Ấp 2, Đường Liên Ấp 1-2-3, Ho Chi Minh City, HC 111111, Vietnam",,111111,,"B12A/23F3 LIÊN ÂP 1-2, 3 Ấp 2",,,Đường Liên Ấp 1-2-3,,Ho Chi Minh City,Binh Chanh,Ho Chi Minh,,HC,Vietnam,vn,0,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Lê Trung Nghĩa,Phường Bảy Hiền,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,,,Xa Moi,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Bình Lợi,Phường Bình Lợi Trung,TP. Hồ Chí Minh(Mới)",10.831517,106.70534,"Bình Lợi, Ho Chi Minh City, HC, Vietnam",,,,,,,Bình Lợi,,Ho Chi Minh City,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Âu Cơ,Phường Tân Sơn Nhì,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,,,Xa Moi,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Xã Long Sơn,TP. Hồ Chí Minh(Mới)",10.21804,105.93281,"Xã Tân Hạnh, VL, Vietnam",,,,,,,,,Xã Tân Hạnh,Long Ho,Vinh Long,,VL,Vietnam,vn,0,,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"Đường An Phú Đông 10,Phường An Phú Đông,TP. Hồ Chí Minh(Mới)",10.7537328,106.6627349,"10, Phù Đổng Thiên Vương, Cholon, Ho Chi Minh City, 73000, Vietnam",Phù Đổng Thiên Vương,73000,,10,Cholon,,Phù Đổng Thiên Vương,0.3333333333333333,Ho Chi Minh City,,,0.03333333333333333,,Vietnam,vn,0.025,0.025,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường số 3,Phường Thới Hòa,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,,,Xa Moi,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Lê Bình,Phường Tân Sơn Nhất,TP. Hồ Chí Minh(Mới)",10.777327,106.612457,"Hẻm 206 Đường Lê Bình Quới, HC, Vietnam",,,,,,,Hẻm 206 Đường Lê Bình Quới,,,Binh Tan,Ho Chi Minh,,HC,Vietnam,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Xã Xuân Thới Sơn,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường 22 tháng 12,Phường Thuận Giao,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,,,Xa Moi,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Hoàng Việt,Phường Tân Sơn Nhất,TP. Hồ Chí Minh(Mới)",12.940915,108.262752,"Đường Hoàng Việt, DC, Vietnam",,,,,,,Đường Hoàng Việt,,,Buon Ho,Dak Lak,,DC,Vietnam,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường An Phú Đông 9,Phường An Phú Đông,TP. Hồ Chí Minh(Mới)",10.7537256,106.6627363,"9, Phù Đổng Thiên Vương, Cholon, Ho Chi Minh City, 73000, Vietnam",Phù Đổng Thiên Vương,73000,,9,Cholon,,Phù Đổng Thiên Vương,0.3333333333333333,Ho Chi Minh City,,,0.03333333333333333,,Vietnam,vn,0.025,0.025,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"đường Trần Mai Ninh,Phường Bảy Hiền,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,,,Xa Moi,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Âu Cơ,Phường Tân Hòa,TP. Hồ Chí Minh(Mới)",10.801827,106.636742,"Đường Âu Cơ, Ho Chi Minh City, HC, Vietnam",,,,,,,Đường Âu Cơ,,Ho Chi Minh City,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Số 14B,Phường Bình Trị Đông,TP. Hồ Chí Minh(Mới)",10.712301,106.687259,"Đường số 14B, HC, Vietnam",,,,,,,Đường số 14B,,,Nha Be,Ho Chi Minh,,HC,Vietnam,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Vạn Kiếp,Phường Gia Định,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,,,Xa Moi,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Ngô Tất Tố,Phường Thạnh Mỹ Tây,TP. Hồ Chí Minh(Mới)",10.791562,106.714015,"Hẻm 94 Đường Ngô Tất Tố, Ho Chi Minh City, HC, Vietnam",,,,,,,Hẻm 94 Đường Ngô Tất Tố,,Ho Chi Minh City,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Số 1C,Phường An Lạc,TP. Hồ Chí Minh(Mới)",10.726149,106.617935,"Đường số 1C, Ho Chi Minh City, HC, Vietnam",,,,,,,Đường số 1C,,Ho Chi Minh City,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Diên Hồng,Phường Gia Định,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,,,Xa Moi,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Bình Long,Phường Bình Trị Đông,TP. Hồ Chí Minh(Mới)",10.90437245,106.85706263278279,"Trường Đại học Mở Thành phố Hồ Chí Minh (cơ sở 2), Đường Trương Văn Hải, Khu phố 1, Vietnam",Trường Đại học Mở Thành phố Hồ Chí Minh (cơ sở 2),,,,Khu phố 1,,Đường Trương Văn Hải,,,Phường Long Hưng,,,,Vietnam,vn,0.015151515151515152,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"đường Bùi Thế Mỹ,Phường Bảy Hiền,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,,,Xa Moi,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Ba Vân,Phường Tân Bình,TP. Hồ Chí Minh(Mới)",10.795598,106.639551,"Hẻm 137 Đường Ba Vân, Ho Chi Minh City, HC, Vietnam",,,,,,,Hẻm 137 Đường Ba Vân,,Ho Chi Minh City,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Xã Thanh An,TP. Hồ Chí Minh(Mới)",10.3272739,106.4621553,"XÃ AN THẠNH THỦY, ĐH.23, TG, Vietnam",XÃ AN THẠNH THỦY,,,,,,ĐH.23,,,Xã Bình Ninh,Đồng Tháp Province,,TG,Vietnam,vn,0.13999999999999999,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
