original_address,lat,lon,formatted,district,name,county_code,housenumber,street,postcode,suburb,city,county,confidence_city_level,confidence_street_level,confidence_building_level,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
"đường Đồng Đen,Phường 12,Quận Tân Bình,TP. Hồ Chí Minh",10.81691,106.63832,"Tan Binh, Vietnam",,Tan Binh,,,,,,,Tan Binh,,,,Ho Chi Minh,HC,Vietnam,vn,0.225,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường Tân Quy,Quận 7,TP. Hồ Chí Minh",10.782066,106.650014,"940, Lạc Long Quân, Ho Chi Minh City, HC 700000, Vietnam",,,,940,Lạc Long Quân,700000,,Ho Chi Minh City,Quan 8,,,,Ho Chi Minh,HC,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Nguyễn Chí Thanh,Phường 12,Quận 5,TP. Hồ Chí Minh",10.75567,106.66745,"Quan Nam, HC, Vietnam",,,,,,,,Quan Nam,Quan 8,,,,Ho Chi Minh,HC,Vietnam,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường 17,Quận Phú Nhuận,TP. Hồ Chí Minh",10.804498,106.794057,"Liên Phường, Ho Chi Minh City, HC, Vietnam",,,,,Liên Phường,,,Ho Chi Minh City,Quan 8,,,,Ho Chi Minh,HC,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Thành Thái,Phường 14,Quận 10,TP. Hồ Chí Minh",10.771075,106.660431,"Quan 10, Vietnam",,Quan 10,,,,,,,Quan 10,,,,Ho Chi Minh,HC,Vietnam,vn,0.225,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường 11,Quận Phú Nhuận,TP. Hồ Chí Minh",10.79475,106.6763,"Quan Phu Nhuan, HC, Vietnam",,,,,,,,Quan Phu Nhuan,Phu Nhuan,0.2222222222222222,,,Ho Chi Minh,HC,Vietnam,vn,0.2222222222222222,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"đường Âu Cơ,Phường 10,Quận Tân Bình,TP. Hồ Chí Minh",10.7615,106.59711,"Binh Tan, Vietnam",,Binh Tan,,,,,,,Binh Tan,,,,Ho Chi Minh,HC,Vietnam,vn,0.1125,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"Phường 10,Quận Phú Nhuận,TP. Hồ Chí Minh",10.7513543,106.6695873,"An Duyen Vegetarian, 10, Nguyen Tri Phuong Boulevard, Ho Chi Minh City, HC 73009, Vietnam",,An Duyen Vegetarian,,10,Nguyen Tri Phuong Boulevard,73009,,Ho Chi Minh City,Phường An Đông,,,,Ho Chi Minh,HC,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Xã Tân Vĩnh Lộc,TP. Hồ Chí Minh",10.71064,106.58641,"Xã Tân Kiên, HC, Vietnam",,,,,,,,Xã Tân Kiên,Binh Chanh,0.2,,,Ho Chi Minh,HC,Vietnam,vn,0.05,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"Phường 11,Quận Tân Bình,TP. Hồ Chí Minh",10.81691,106.63832,"Tan Binh, Vietnam",,Tan Binh,,,,,,,Tan Binh,,,,Ho Chi Minh,HC,Vietnam,vn,0.45,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường 06,Quận Tân Bình,TP. Hồ Chí Minh",10.797559,106.687121,"Hoa Phượng, Ho Chi Minh City, HC 72210, Vietnam",,,,,Hoa Phượng,72210,,Ho Chi Minh City,Quan 8,,,,Ho Chi Minh,HC,Vietnam,vn,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
